               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030169,            0.021718,           0.0014716,             0.93188,             0.87608,              0.9343,             0.58689,            0.029114,            0.015618,           0.0018968,            0.007927,            0.007927,            0.007927
                  36,            0.030745,            0.022379,           0.0017312,             0.94063,             0.87513,             0.93912,             0.58544,            0.029276,            0.015579,           0.0016972,            0.007816,            0.007816,            0.007816
                  37,            0.030347,            0.022129,           0.0015128,             0.93378,              0.8776,             0.93748,             0.58647,            0.029562,            0.015716,           0.0015954,           0.0077031,           0.0077031,           0.0077031
                  38,             0.03019,              0.0218,           0.0013886,              0.9336,             0.87748,             0.93549,             0.59231,            0.029042,            0.015665,           0.0014943,           0.0075886,           0.0075886,           0.0075886
                  39,            0.029955,            0.021316,           0.0013775,              0.9335,             0.87221,             0.93123,             0.58525,            0.029142,            0.015756,           0.0015808,           0.0074725,           0.0074725,           0.0074725
                  40,            0.029732,            0.021266,           0.0013249,              0.9327,             0.87865,             0.93564,             0.58813,            0.029157,            0.015599,           0.0016166,            0.007355,            0.007355,            0.007355
                  41,            0.029753,            0.021506,           0.0013789,             0.93635,             0.87775,             0.93695,             0.58226,            0.029053,            0.015606,           0.0017024,           0.0072361,           0.0072361,           0.0072361
                  42,            0.029568,             0.02119,           0.0012231,             0.93793,              0.8762,             0.93745,             0.59049,            0.028981,            0.015428,           0.0017176,            0.007116,            0.007116,            0.007116
                  43,            0.029799,            0.021383,           0.0014081,              0.9274,             0.88613,             0.94058,             0.58894,            0.028988,            0.015506,           0.0015194,           0.0069948,           0.0069948,           0.0069948
                  44,            0.029823,            0.021211,           0.0011263,             0.93209,              0.8792,             0.93741,             0.58837,            0.029134,            0.015535,           0.0015082,           0.0068726,           0.0068726,           0.0068726
                  45,            0.029412,            0.021209,           0.0014165,             0.93686,             0.86931,             0.93364,             0.58757,            0.028947,            0.015512,           0.0017121,           0.0067495,           0.0067495,           0.0067495
                  46,            0.029265,            0.021447,           0.0013267,             0.93192,             0.87964,             0.93749,             0.58759,            0.029064,            0.015518,            0.001673,           0.0066257,           0.0066257,           0.0066257
                  47,            0.029064,             0.02092,           0.0011296,             0.92479,             0.87907,             0.93444,             0.58528,            0.029185,            0.015628,            0.001886,           0.0065013,           0.0065013,           0.0065013
                  48,            0.028916,            0.021308,           0.0013184,               0.925,             0.88828,             0.93733,             0.59074,             0.02898,            0.015607,           0.0017027,           0.0063764,           0.0063764,           0.0063764
                  49,            0.028976,            0.021189,           0.0012229,             0.93761,             0.87539,             0.93367,             0.59021,            0.028855,            0.015634,           0.0016451,           0.0062512,           0.0062512,           0.0062512
                  50,            0.028731,            0.020972,           0.0011545,             0.94182,             0.86902,             0.93628,             0.58971,            0.028989,            0.015697,           0.0016864,           0.0061256,           0.0061256,           0.0061256
                  51,            0.028543,            0.020873,           0.0012216,             0.95331,             0.86328,             0.93705,             0.59244,            0.028828,            0.015496,           0.0015676,               0.006,               0.006,               0.006
                  52,            0.028651,             0.02096,           0.0012205,             0.93443,             0.87699,             0.93736,             0.59132,            0.028797,            0.015545,           0.0017216,           0.0058744,           0.0058744,           0.0058744
                  53,             0.02853,            0.020588,           0.0011331,              0.9335,             0.87776,             0.93754,             0.59348,             0.02881,            0.015524,           0.0016683,           0.0057488,           0.0057488,           0.0057488
                  54,            0.028694,             0.02103,           0.0011662,             0.92482,             0.88942,             0.93748,             0.59028,            0.028812,            0.015505,           0.0017789,           0.0056236,           0.0056236,           0.0056236
